
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1E:13:6E:1D:80, 2013-11-11 16:38:53, 2013-11-11 16:39:08, 13,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:00:00:00:00:00, 2013-11-11 16:37:51, 2013-11-11 16:39:22, 108,  -1,     ,       ,   , -48,        0,        0,   0.  0.  0.  0,   0, , 
A8:B1:D4:6C:0F:00, 2013-11-11 16:37:21, 2013-11-11 16:40:26, 11,  54, WPA2WPA OPN , CCMP TKIP, MGT, -72,        5,        1,   0.  0.  0.  0,   7, eduroam, 
A8:B1:D4:6C:0F:01, 2013-11-11 16:39:30, 2013-11-11 16:40:27, 11,  54, OPN ,       ,   , -72,        4,        0,   0.  0.  0.  0,   7, webauth, 
A8:B1:D4:6C:49:F0, 2013-11-11 16:37:12, 2013-11-11 16:40:42,  1,  54, WPA2WPA , CCMP TKIP, MGT, -58,      188,        8,   0.  0.  0.  0,   7, eduroam, 
A8:B1:D4:6C:49:F1, 2013-11-11 16:37:12, 2013-11-11 16:40:42,  1,  54, OPN ,       ,   , -62,      165,        1,   0.  0.  0.  0,   7, webauth, 
A8:B1:D4:20:C5:30, 2013-11-11 16:37:12, 2013-11-11 16:40:43,  1,  54, WPA2WPA , CCMP TKIP, MGT, -57,      134,       24,   0.  0.  0.  0,   7, eduroam, 
A8:B1:D4:20:C5:31, 2013-11-11 16:37:12, 2013-11-11 16:40:43,  1,  54, OPN ,       ,   , -58,      160,        0,   0.  0.  0.  0,   7, webauth, 
64:70:02:1A:B1:81, 2013-11-11 16:37:12, 2013-11-11 16:40:43,  2,  54, WEP , WEP,   , -40,      323,       33,   0.  0.  0.  0,   5, Bernd, 
A8:B1:D4:6C:0C:A1, 2013-11-11 16:37:12, 2013-11-11 16:40:44,  6,  54, OPN ,       ,   , -41,      408,       52, 131.234. 55.  9,   7, webauth, 
64:70:02:1C:4F:3A, 2013-11-11 16:37:12, 2013-11-11 16:40:43,  1,  54, OPN ,       ,   , -26,      288,        0,   0.  0.  0.  0,   9, OpenBernd, 
A8:B1:D4:6C:0C:A0, 2013-11-11 16:37:12, 2013-11-11 16:40:44,  6,  54, WPA2WPA , CCMP TKIP, MGT, -30,      400,      976,   0.  0.  0.  0,   7, eduroam, 
64:70:02:1C:4F:13, 2013-11-11 16:37:12, 2013-11-11 16:40:44,  3,  54, WPA2, CCMP,PSK, -29,      480,        0,   0.  0.  0.  0,  11, SecureBernd, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
10:68:3F:4E:15:75, 2013-11-11 16:37:25, 2013-11-11 16:39:40, -60,        7, A8:B1:D4:6C:49:F1,
00:24:D6:86:D1:CE, 2013-11-11 16:37:16, 2013-11-11 16:39:31, -68,       15, A8:B1:D4:6C:0C:A0,
A0:88:B4:93:C2:AC, 2013-11-11 16:37:19, 2013-11-11 16:39:19, -62,        8, (not associated) ,
70:DE:E2:B2:2D:EA, 2013-11-11 16:38:53, 2013-11-11 16:39:08, -73,        9, 00:1E:13:6E:1D:80,
00:19:D2:AB:94:9F, 2013-11-11 16:37:51, 2013-11-11 16:37:51,  -1,        1, A8:B1:D4:6C:49:F1,
F0:D1:A9:8B:BB:3F, 2013-11-11 16:38:08, 2013-11-11 16:38:13, -37,        2, A8:B1:D4:20:C5:30, eduroam
00:13:02:AE:BA:5E, 2013-11-11 16:38:53, 2013-11-11 16:38:53, -31,        4, (not associated) ,
00:1C:BF:79:48:B1, 2013-11-11 16:39:05, 2013-11-11 16:39:05,  -1,        2, A8:B1:D4:6C:49:F0,
3C:A9:F4:33:97:0C, 2013-11-11 16:37:12, 2013-11-11 16:39:14, -70,        9, A8:B1:D4:6C:49:F1,
10:40:F3:A6:E0:B6, 2013-11-11 16:37:29, 2013-11-11 16:39:24,  -1,        3, A8:B1:D4:6C:49:F0,
78:9E:D0:F9:48:ED, 2013-11-11 16:37:46, 2013-11-11 16:40:44, -73,       47, A8:B1:D4:6C:0C:A1,
00:24:D7:D4:40:F0, 2013-11-11 16:37:29, 2013-11-11 16:40:34, -73,       50, A8:B1:D4:20:C5:30, eduroam
20:64:32:09:FD:50, 2013-11-11 16:40:01, 2013-11-11 16:40:01, -72,        1, (not associated) ,
20:64:32:0A:6E:F9, 2013-11-11 16:37:16, 2013-11-11 16:40:12, -70,       29, A8:B1:D4:6C:0C:A0, eduroam
38:AA:3C:5F:CE:B9, 2013-11-11 16:40:30, 2013-11-11 16:40:30, -70,        1, (not associated) ,
74:2F:68:59:98:01, 2013-11-11 16:37:21, 2013-11-11 16:40:22, -69,       20, (not associated) ,
D0:23:DB:3B:96:F2, 2013-11-11 16:37:19, 2013-11-11 16:40:34, -68,       14, (not associated) , eduroam
3C:A9:F4:34:A0:04, 2013-11-11 16:38:31, 2013-11-11 16:39:56, -65,       10, (not associated) , eduroam
00:19:D2:2A:B6:D7, 2013-11-11 16:40:07, 2013-11-11 16:40:43, -74,       68, A8:B1:D4:20:C5:30, eduroam
08:11:96:1A:10:88, 2013-11-11 16:37:16, 2013-11-11 16:40:38, -64,       90, (not associated) , Speedy
38:AA:3C:3A:3D:1A, 2013-11-11 16:37:51, 2013-11-11 16:40:03, -64,       17, A8:B1:D4:6C:49:F0,
00:22:FB:D3:4C:DA, 2013-11-11 16:37:16, 2013-11-11 16:40:41, -62,       10, A8:B1:D4:6C:49:F0, eduroam
00:C0:CA:55:54:5C, 2013-11-11 16:39:42, 2013-11-11 16:39:42, -61,        1, 64:70:02:1C:4F:3A, OpenBernd
58:67:1A:B6:48:48, 2013-11-11 16:39:44, 2013-11-11 16:40:42, -63,        2, A8:B1:D4:6C:49:F0,
BC:F5:AC:F5:63:C1, 2013-11-11 16:38:00, 2013-11-11 16:40:42, -58,       17, A8:B1:D4:20:C5:30, AP-Miskolc,eduroam
98:0C:82:21:3F:56, 2013-11-11 16:37:22, 2013-11-11 16:40:23, -57,       33, A8:B1:D4:20:C5:30, eduroam
BC:F5:AC:F4:12:2E, 2013-11-11 16:37:13, 2013-11-11 16:40:39, -56,      110, (not associated) , Celona HotSpot,WLAN-001F3F5FD5D5,doppelgemoppel3,paralax,ConnectionPoint,LinuxTag,TK,NETGEAR,schlappinger-hof,maistro
20:7D:74:13:48:DF, 2013-11-11 16:37:42, 2013-11-11 16:40:40, -53,       21, A8:B1:D4:6C:0C:A1, webauth
BC:F5:AC:F5:F8:47, 2013-11-11 16:37:13, 2013-11-11 16:40:20, -52,       57, A8:B1:D4:6C:0C:A0,
10:0B:A9:04:9E:4C, 2013-11-11 16:37:51, 2013-11-11 16:39:52, -48,        8, (not associated) ,
E0:F8:47:1B:57:24, 2013-11-11 16:37:12, 2013-11-11 16:40:32, -45,       73, A8:B1:D4:20:C5:30, eduroam
60:21:C0:CF:8D:03, 2013-11-11 16:37:12, 2013-11-11 16:40:13, -45,       29, (not associated) ,
00:21:6A:A9:E6:88, 2013-11-11 16:38:00, 2013-11-11 16:40:17, -41,       17, (not associated) ,
00:27:10:DF:42:40, 2013-11-11 16:37:29, 2013-11-11 16:40:03, -41,       17, (not associated) , eduroam
74:F0:6D:7C:9C:23, 2013-11-11 16:37:54, 2013-11-11 16:40:01, -39,       47, A8:B1:D4:6C:0C:A0, eduroam
00:24:D7:9F:F9:B8, 2013-11-11 16:37:54, 2013-11-11 16:39:54, -32,        7, (not associated) ,
1C:65:9D:56:9F:CC, 2013-11-11 16:37:12, 2013-11-11 16:40:44,  -1,      961, A8:B1:D4:6C:0C:A0,
00:C0:CA:55:54:5E, 2013-11-11 16:40:43, 2013-11-11 16:40:43, -19,        1, 64:70:02:1C:4F:13, SecureBernd

