Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;00:1E:13:6E:1D:80;;13;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Nov 11 16:38:53 2013;Mon Nov 11 16:39:08 2013;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;00:00:00:00:00:00;;108;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Nov 11 16:37:51 2013;Mon Nov 11 16:39:22 2013;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;eduroam;A8:B1:D4:6C:0F:00;;11;No;WPA2,WPA,OPN,AES-CCM,TKIP;No;54.0;0;5;0;1;0;0;1;;;Mon Nov 11 16:37:21 2013;Mon Nov 11 16:40:26 2013;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;webauth;A8:B1:D4:6C:0F:01;;11;No;OPN,None;No;54.0;0;4;0;0;0;0;0;;;Mon Nov 11 16:39:30 2013;Mon Nov 11 16:40:27 2013;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;eduroam;A8:B1:D4:6C:49:F0;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;188;0;8;0;0;8;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:42 2013;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;webauth;A8:B1:D4:6C:49:F1;;1;No;OPN,None;No;54.0;0;165;0;1;0;0;1;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:42 2013;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;eduroam;A8:B1:D4:20:C5:30;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;134;0;24;0;0;24;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:43 2013;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;webauth;A8:B1:D4:20:C5:31;;1;No;OPN,None;No;54.0;0;160;0;0;0;0;0;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:43 2013;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Bernd;64:70:02:1A:B1:81;;2;No;WEP;No;54.0;0;323;0;33;0;0;33;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:43 2013;-40;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;webauth;A8:B1:D4:6C:0C:A1;;6;No;OPN,None;No;54.0;0;408;0;52;0;0;52;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:44 2013;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;131.234.55.9;
11;infrastructure;OpenBernd;64:70:02:1C:4F:3A;;1;No;OPN,None;No;54.0;0;288;0;0;0;0;0;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:43 2013;-26;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;eduroam;A8:B1:D4:6C:0C:A0;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;400;0;976;0;0;976;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:44 2013;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;SecureBernd;64:70:02:1C:4F:13;;3;No;WPA2,AES-CCM;No;54.0;0;480;0;0;0;0;0;;;Mon Nov 11 16:37:12 2013;Mon Nov 11 16:40:44 2013;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;

